sample-id	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath
SRR16481036	SRP342102	PARISA_2022	4h_Biofilm	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481036_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481036_2.fastq.gz
SRR16481037	SRP342102	PARISA_2022	4h_Liquid	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481037_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481037_2.fastq.gz
SRR16481038	SRP342102	PARISA_2022	Inoculum_3	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481038_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481038_2.fastq.gz
SRR16481039	SRP342102	PARISA_2022	Inoculum_2	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481039_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481039_2.fastq.gz
SRR16481040	SRP342102	PARISA_2022	Inoculum_1	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481040_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481040_2.fastq.gz
SRR12959964	SRP290661_	RETTENMEIER_2019	84-Mod-Isolate-S4MN4-GS2plusPASC	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959964_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959964_2.fastq.gz
SRR12959965	SRP290661_	RETTENMEIER_2019	81-Mod-Isolate-S4MN4-GS2plusXylan	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959965_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959965_2.fastq.gz
SRR12959966	SRP290661_	RETTENMEIER_2019	80-Mod-Isolate-S4MN4-GS2plusXylan	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959966_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959966_2.fastq.gz
SRR12959967	SRP290661_	RETTENMEIER_2019	79-Mod-Isolate-S4MN4-GS2plusCbplusFP	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959967_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959967_2.fastq.gz
SRR12959968	SRP290661_	RETTENMEIER_2019	78-Mod-Isolate-S4MN4-GS2plusCbplusFP	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959968_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959968_2.fastq.gz
SRR12959969	SRP290661_	RETTENMEIER_2019	77-Mod-Isolate-S4MN4-GS2plusCb	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959969_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959969_2.fastq.gz
SRR12959970	SRP290661_	RETTENMEIER_2019	76-Mod-Isolate-S4MN4-GS2plusCb	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959970_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959970_2.fastq.gz
SRR12959971	SRP290661_	RETTENMEIER_2019	75-Mod-Isolate-S4MN4-GS2plusFP	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959971_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959971_2.fastq.gz
SRR12959972	SRP290661_	RETTENMEIER_2019	74-Mod-Isolate-S4MN4-GS2plusFP	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959972_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959972_2.fastq.gz
SRR12959963	SRP290661_	RETTENMEIER_2019	85-Mod-Isolate-S4MN4-GS2plusPASC	SILAGE	MAIZE_SILAGE				PAIRED-END		/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959963_1.fastq.gz	/home/ubuntu/biogas/samples/RETTENMEIER_2019/SRR12959963_2.fastq.gz
ERR3972151	ERP120334	MIRITANA_2020	SAMEA6602902	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972151_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972151_2.fastq.gz
ERR3972152	ERP120334	MIRITANA_2020	SAMEA6602903	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972152_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972152_2.fastq.gz
ERR3972154	ERP120334	MIRITANA_2020	SAMEA6602905	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972154_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972154_2.fastq.gz
ERR3972155	ERP120334	MIRITANA_2020	SAMEA6602906	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972155_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972155_2.fastq.gz
ERR3972157	ERP120334	MIRITANA_2020	SAMEA6602908	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972157_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972157_2.fastq.gz
ERR3972158	ERP120334	MIRITANA_2020	SAMEA6602909	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972158_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972158_2.fastq.gz
ERR3972159	ERP120334	MIRITANA_2020	SAMEA6602910	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972159_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972159_2.fastq.gz
ERR3972160	ERP120334	MIRITANA_2020	SAMEA6602911	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972160_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972160_2.fastq.gz
ERR3972162	ERP120334	MIRITANA_2020	SAMEA6602913	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972162_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972162_2.fastq.gz
ERR3972163	ERP120334	MIRITANA_2020	SAMEA6602914	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972163_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972163_2.fastq.gz
ERR3972165	ERP120334	MIRITANA_2020	SAMEA6602916	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972165_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972165_2.fastq.gz
ERR3972166	ERP120334	MIRITANA_2020	SAMEA6602917	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972166_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972166_2.fastq.gz
ERR3972168	ERP120334	MIRITANA_2020	SAMEA6602919	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972168_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972168_2.fastq.gz
ERR3972170	ERP120334	MIRITANA_2020	SAMEA6602921	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972170_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972170_2.fastq.gz
ERR3972172	ERP120334	MIRITANA_2020	SAMEA6602923	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972172_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972172_2.fastq.gz
ERR3972173	ERP120334	MIRITANA_2020	SAMEA6602924	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972173_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972173_2.fastq.gz
ERR3972175	ERP120334	MIRITANA_2020	SAMEA6602926	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972175_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972175_2.fastq.gz
ERR3972176	ERP120334	MIRITANA_2020	SAMEA6602927	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972176_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972176_2.fastq.gz
ERR3972178	ERP120334	MIRITANA_2020	SAMEA6602929	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972178_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972178_2.fastq.gz
ERR3972181	ERP120334	MIRITANA_2020	SAMEA6602932	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972181_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972181_2.fastq.gz
ERR3972183	ERP120334	MIRITANA_2020	SAMEA6602934	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972183_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972183_2.fastq.gz
ERR3972184	ERP120334	MIRITANA_2020	SAMEA6602935	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972184_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972184_2.fastq.gz
ERR3972186	ERP120334	MIRITANA_2020	SAMEA6602937	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972186_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972186_2.fastq.gz
ERR3972150	ERP120334	MIRITANA_2020	SAMEA6602901	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972150_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972150_2.fastq.gz
ERR3972153	ERP120334	MIRITANA_2020	SAMEA6602904	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972153_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972153_2.fastq.gz
ERR3972156	ERP120334	MIRITANA_2020	SAMEA6602907	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972156_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972156_2.fastq.gz
ERR3972161	ERP120334	MIRITANA_2020	SAMEA6602912	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972161_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972161_2.fastq.gz
ERR3972164	ERP120334	MIRITANA_2020	SAMEA6602915	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972164_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972164_2.fastq.gz
ERR3972167	ERP120334	MIRITANA_2020	SAMEA6602918	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972167_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972167_2.fastq.gz
ERR3972169	ERP120334	MIRITANA_2020	SAMEA6602920	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972169_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972169_2.fastq.gz
ERR3972171	ERP120334	MIRITANA_2020	SAMEA6602922	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972171_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972171_2.fastq.gz
ERR3972174	ERP120334	MIRITANA_2020	SAMEA6602925	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972174_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972174_2.fastq.gz
ERR3972177	ERP120334	MIRITANA_2020	SAMEA6602928	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972177_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972177_2.fastq.gz
ERR3972179	ERP120334	MIRITANA_2020	SAMEA6602930	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972179_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972179_2.fastq.gz
ERR3972180	ERP120334	MIRITANA_2020	SAMEA6602931	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972180_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972180_2.fastq.gz
ERR3972182	ERP120334	MIRITANA_2020	SAMEA6602933	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972182_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972182_2.fastq.gz
ERR3972185	ERP120334	MIRITANA_2020	SAMEA6602936	MANURE	COW_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972185_1.fastq.gz	/home/ubuntu/biogas/samples/MIRITANA_2020/ERR3972185_2.fastq.gz
SRR8450533	SRP179931	SAFARIC_2020	L1_160810	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450533_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450533_2.fastq.gz
SRR8450534	SRP179931	SAFARIC_2020	L5_160608	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450534_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450534_2.fastq.gz
SRR8450535	SRP179931	SAFARIC_2020	L1_160706	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450535_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450535_2.fastq.gz
SRR8450536	SRP179931	SAFARIC_2020	L1_160706	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450536_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450536_2.fastq.gz
SRR8450537	SRP179931	SAFARIC_2020	L5_160608	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450537_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450537_2.fastq.gz
SRR8450544	SRP179931	SAFARIC_2020	L5_160907	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450544_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450544_2.fastq.gz
SRR8450545	SRP179931	SAFARIC_2020	L3_160907	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450545_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450545_2.fastq.gz
SRR8450546	SRP179931	SAFARIC_2020	L3_160907	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450546_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450546_2.fastq.gz
SRR8450547	SRP179931	SAFARIC_2020	L3_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450547_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450547_2.fastq.gz
SRR8450548	SRP179931	SAFARIC_2020	L3_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450548_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450548_2.fastq.gz
SRR8450549	SRP179931	SAFARIC_2020	L2_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450549_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450549_2.fastq.gz
SRR8450550	SRP179931	SAFARIC_2020	L2_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450550_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450550_2.fastq.gz
SRR8450551	SRP179931	SAFARIC_2020	L1_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450551_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450551_2.fastq.gz
SRR8450552	SRP179931	SAFARIC_2020	L1_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450552_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450552_2.fastq.gz
SRR8450553	SRP179931	SAFARIC_2020	L5_160413	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450553_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450553_2.fastq.gz
SRR8450554	SRP179931	SAFARIC_2020	L5_160413	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450554_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450554_2.fastq.gz
SRR8450555	SRP179931	SAFARIC_2020	L3_160413	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450555_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450555_2.fastq.gz
SRR8450556	SRP179931	SAFARIC_2020	L3_160413	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450556_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450556_2.fastq.gz
SRR8450557	SRP179931	SAFARIC_2020	L1_160121	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450557_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450557_2.fastq.gz
SRR8450558	SRP179931	SAFARIC_2020	L1_160121	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450558_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450558_2.fastq.gz
SRR8450559	SRP179931	SAFARIC_2020	L5_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450559_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450559_2.fastq.gz
SRR8450560	SRP179931	SAFARIC_2020	L5_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450560_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450560_2.fastq.gz
SRR8450561	SRP179931	SAFARIC_2020	L3_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450561_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450561_2.fastq.gz
SRR8450562	SRP179931	SAFARIC_2020	L3_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450562_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450562_2.fastq.gz
SRR8450563	SRP179931	SAFARIC_2020	L2_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450563_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450563_2.fastq.gz
SRR8450564	SRP179931	SAFARIC_2020	L2_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450564_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450564_2.fastq.gz
SRR8450565	SRP179931	SAFARIC_2020	L1_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450565_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450565_2.fastq.gz
SRR8450566	SRP179931	SAFARIC_2020	L1_160107	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450566_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450566_2.fastq.gz
SRR8450567	SRP179931	SAFARIC_2020	L2_160907	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450567_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450567_2.fastq.gz
SRR8450568	SRP179931	SAFARIC_2020	L2_160907	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450568_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450568_2.fastq.gz
SRR8450569	SRP179931	SAFARIC_2020	L3_160810	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450569_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450569_2.fastq.gz
SRR8450570	SRP179931	SAFARIC_2020	L3_160810	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450570_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450570_2.fastq.gz
SRR8450571	SRP179931	SAFARIC_2020	L2_160810	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450571_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450571_2.fastq.gz
SRR8450579	SRP179931	SAFARIC_2020	L5_160121	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450579_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450579_2.fastq.gz
